,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cut_int,color_int,clarity_int,carat_category,cut_color_clarity,cut_color_clarity_bins
0,0,1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,4,1,5,"(0.85, 1.4]",10,"(2.999, 10.0]"
1,1,0.32,Very Good,H,VS2,63.0,57.0,505,4.35,4.38,2.75,3,3,5,"(0.0, 0.85]",11,"(10.0, 12.0]"
2,2,0.71,Fair,G,VS1,65.5,55.0,2686,5.62,5.53,3.65,1,4,4,"(0.0, 0.85]",9,"(2.999, 10.0]"
3,3,0.41,Good,D,SI1,63.8,56.0,738,4.68,4.72,3.0,2,7,2,"(0.0, 0.85]",11,"(10.0, 12.0]"
4,4,1.02,Ideal,G,SI1,60.5,59.0,4882,6.55,6.51,3.95,5,4,2,"(0.85, 1.4]",11,"(10.0, 12.0]"
5,5,1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54,5,5,3,"(1.4, 1.9]",13,"(12.0, 14.0]"
6,6,1.01,Fair,H,VS2,65.2,56.0,3733,6.23,6.19,4.05,1,3,5,"(0.85, 1.4]",9,"(2.999, 10.0]"
7,7,1.52,Ideal,J,VS1,62.3,58.0,8608,7.32,7.35,4.57,5,1,4,"(1.4, 1.9]",10,"(2.999, 10.0]"
8,8,0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,5,3,4,"(0.0, 0.85]",12,"(10.0, 12.0]"
9,9,1.14,Ideal,G,SI1,61.7,56.0,6741,6.71,6.75,4.15,5,4,2,"(0.85, 1.4]",11,"(10.0, 12.0]"
10,10,0.44,Premium,E,SI1,62.3,59.0,1040,4.88,4.84,3.03,4,6,2,"(0.0, 0.85]",12,"(10.0, 12.0]"
11,11,1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,4,2,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
12,12,0.93,Ideal,I,SI2,62.3,57.0,3101,6.2,6.22,3.87,5,2,3,"(0.85, 1.4]",10,"(2.999, 10.0]"
13,13,1.51,Premium,G,VS1,60.1,58.0,14507,7.48,7.45,4.49,4,4,4,"(1.4, 1.9]",12,"(10.0, 12.0]"
14,14,1.65,Ideal,H,SI2,61.6,55.0,10349,7.58,7.62,4.68,5,3,3,"(1.4, 1.9]",11,"(10.0, 12.0]"
15,15,1.5,Good,G,SI2,57.5,63.0,6006,7.53,7.49,4.32,2,4,3,"(1.4, 1.9]",9,"(2.999, 10.0]"
16,16,0.43,Ideal,D,VS1,62.1,56.0,1207,4.85,4.87,3.02,5,7,4,"(0.0, 0.85]",16,"(14.0, 20.0]"
17,17,0.38,Premium,G,VS2,60.8,61.0,983,4.66,4.65,2.83,4,4,5,"(0.0, 0.85]",13,"(12.0, 14.0]"
18,18,0.85,Ideal,I,VS1,61.9,56.0,3548,6.08,6.1,3.77,5,2,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
19,19,1.53,Premium,D,SI2,60.7,60.0,11078,7.45,7.41,4.51,4,7,3,"(1.4, 1.9]",14,"(12.0, 14.0]"
20,20,1.54,Premium,H,VS2,61.0,60.0,11177,7.46,7.42,4.54,4,3,5,"(1.4, 1.9]",12,"(10.0, 12.0]"
21,21,0.71,Premium,G,SI2,62.0,59.0,1740,5.69,5.65,3.52,4,4,3,"(0.0, 0.85]",11,"(10.0, 12.0]"
22,22,0.3,Very Good,G,VS1,61.7,56.0,605,4.29,4.33,2.66,3,4,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
23,23,1.3,Ideal,G,IF,61.3,56.0,12932,7.03,7.06,4.32,5,4,8,"(0.85, 1.4]",17,"(14.0, 20.0]"
24,24,0.3,Premium,G,SI1,62.9,59.0,574,4.28,4.24,2.68,4,4,2,"(0.0, 0.85]",10,"(2.999, 10.0]"
25,25,1.0,Ideal,I,SI2,61.7,56.0,2873,6.45,6.41,3.97,5,2,3,"(0.85, 1.4]",10,"(2.999, 10.0]"
